wallet_address,final_score,score_wallet_longevity,score_tx_frequency,score_time_consistency,score_repayment_efficiency,score_collateral_health,score_liquidation_penalty,score_asset_diversity,score_tx_value_volatility,score_borrow_activity,score_healthy_usage,raw_score,normalized_score
0xd1c2df69261ce294f0f26423cac49dd2a5bd5cf1,85.7310347432842,0.0048961187214611,1.0,0.9549942872106482,1.0,1.0,0.0,1.0,-0.030062800185794,0.5,0.5,5.929827605746315,85.7310347432842
0x53cb1ddfefdd43a6a0f6f69ceac8f531b12bb780,85.71974149919855,0.0027134703196347,1.0,0.9484812795618386,1.0,1.0,0.0,1.0,-0.0222141374415814,0.5,0.5,5.928980612439892,85.71974149919855
0x535574b576dc7057efda800056a257801e33632c,85.7122064888014,0.0047864028411973,1.0,0.969344092688492,1.0,1.0,0.0,1.0,-0.045715008869584,0.5,0.5,5.928415486660105,85.7122064888014
0x07326cbe4792e8e3c1f61c66fefee8253eb2db0c,85.63712475399728,0.2787332572298326,0.8315506524816693,0.8352141316484789,1.0,1.0,0.0,1.0,-0.0227136848101854,0.5,0.5,5.922784356549796,85.63712475399728
0xfdfbb7bb1a8c9170729e4da73c73bda3e85469a7,85.50140383152652,0.0052294837645865,1.0,0.9712859177910051,0.9988448194401316,1.0,0.0,1.0,-0.0627549336312339,0.5,0.5,5.91260528736449,85.50140383152652
0x4adfc40e1da6d62d93ff2d650be536c969af550e,84.82033958923724,0.0003688165905631,1.0,0.9968638528025794,1.0,0.9079469314497962,0.0,1.0,-0.0436541316501457,0.5,0.5,5.8615254691927925,84.82033958923724
0xbed4e3cd89918563a9ce4b04cf5379daf566bd53,84.36024277248865,0.4170015854895992,0.6478080556557202,0.7823579870651456,1.0,1.0,0.0,1.0,-0.0201494202738162,0.5,0.5,5.827018207936648,84.36024277248865
0xb3d4a0e65b139089de480612df634df342a34695,82.19328696321013,3.2248858447488584e-05,1.0,0.999604208316799,1.0,1.0,0.0,0.6666666666666666,-0.0018066016011528,0.5,0.5,5.66449652224076,82.19328696321013
0x9724749c7f1275a33cc9ad96e37c82c3135bff85,81.95578554305213,0.0004587772704211,1.0,0.9926476970023148,1.0,1.0,0.0,0.6666666666666666,-0.0130892252104929,0.5,0.5,5.64668391572891,81.95578554305213
0xea431dc0b54a79d1c22f63db97f5dff638390d98,81.84511198209161,0.0011933980213089,1.0,0.9814127900132276,1.0,1.0,0.0,0.6666666666666666,-0.0108894560443317,0.5,0.5,5.638383398656871,81.84511198209161
0x64b3122c293e301f9f1dfda823bdc6395d924129,81.83045163074578,8.878741755454083e-05,1.0,0.9989925348627644,1.0,1.0,0.0,0.6666666666666666,-0.0284641166410525,0.5,0.5,5.637283872305933,81.83045163074578
0x41bc5e34131559048b12006a5a8889b122a1d57a,81.78391655729999,0.0136549974632166,1.0,0.948063382210648,0.8567384290478619,0.8453022394339549,0.0,1.0,-0.0299653063581825,0.5,0.5,5.6337937417975,81.78391655729999
0x59432b754d7db823c591abd41ab34115d3cb2266,81.721290173639,0.0009093734145104,1.0,0.987452317473545,1.0,1.0,0.0,0.6666666666666666,-0.0259315945317974,0.5,0.5,5.629096763022925,81.721290173639
0x385d84a0e3d88e91e8e1a3a5aadcd759670c468a,81.66375481319534,0.0014409246575342,1.0,0.9688596133928572,1.0,1.0,0.0,0.6666666666666666,-0.0121855937274069,0.5,0.5,5.6247816109896505,81.66375481319534
0xcb7f677834fbcc8e0645809e2021486f0741da09,81.61334949934158,7.023718924403856e-05,1.0,0.9988987603902116,1.0,1.0,0.0,0.6666666666666666,-0.0446344517955031,0.5,0.5,5.621001212450619,81.61334949934158
0xd19fe63217a41964875069b0e7f6131e5affe2ee,81.56590661354295,0.0004151128868594,1.0,0.9952492857572752,1.0,1.0,0.0,0.6666666666666666,-0.0448880692950803,0.5,0.5,5.617442996015721,81.56590661354295
0xdb191c72f20b2bf3525364fbdbc64409f79951d0,81.50033724899667,1.0527650938609844e-05,1.0,0.9998104809623016,1.0,1.0,0.0,0.6666666666666666,-0.0539623816051563,0.5,0.5,5.61252529367475,81.50033724899667
0x0b773cd2430fabe8b8ecd6f204605314de1d8226,81.48716496991266,3.503932014205987e-05,1.0,0.9989451520386904,1.0,1.0,0.0,0.6666666666666666,-0.0541094852820503,0.5,0.5,5.611537372743449,81.48716496991266
0x838b07f4304795cb5f9aa85dacf194765b3e469a,81.45813059200758,0.0086423135464231,0.6974286720676294,0.9411181007291668,1.0,1.0,0.0,1.0,-0.0378292919426514,0.5,0.5,5.609359794400568,81.45813059200758
0xe3cb4799dea19fafc0272a61b0aa89603554de28,81.4565535982018,1.0971588026382548e-05,1.0,0.9996697037152776,1.0,1.0,0.0,0.6666666666666666,-0.0571058221048361,0.5,0.5,5.609241519865135,81.4565535982018
0xac6839669f1511c3a60020e42f2566d2eff0aed1,81.38266711555333,0.0009875697615423,1.0,0.9924925405125662,1.0,1.0,0.0,0.6666666666666666,-0.0564467432742764,0.5,0.5,5.6037000336665,81.38266711555333
0xbeda3510c457b9dd50f0e61c2595fb875575651d,81.2319680069072,0.0005958269913749,1.0,0.9824219925975528,1.0,0.980201346087577,0.0,0.6666666666666666,-0.0374882318251312,0.5,0.5,5.59239760051804,81.2319680069072
0xcf90d6d26b8372f98a020bf187b30dc8fe8143ae,81.12247715639309,7.610350076103501e-06,1.0,0.9998844878174604,0.9895242701422486,1.0,0.0,0.6666666666666666,-0.0718972482469697,0.5,0.5,5.584185786729482,81.12247715639309
